experiment,scenario,run_id,tick,carla_frame,simulation_time_s,ego_speed_mps,ego_acceleration_mps2,ground_truth_object_type,distance_to_object_m,camera_vehicle_pixels,camera_pedestrian_pixels,camera_traffic_light_pixels,bev_vehicle_pixels,bev_walker_pixels,bev_stop_sign_pixels,bev_light_green_pixels,bev_light_yellow_pixels,bev_light_red_pixels,prob_speed_0,prob_speed_2,prob_speed_3,prob_speed_6,pred_target_speed_mps,decided_action,previous_action,decision_changed,throttle,brake,steer,target_point_x,target_point_y,road_command,expected_perception,actual_perception,perception_correct,expected_safe_action,action_correct,timely_action,collision,time_to_collision_s
Object in Road,Chair,run_1,0,178227,0.0,1.470000147819519,9.80000114440918,chair,29.668082118034363,735,0,0,0,0,0,0,0,0,9.012641157823964e-07,6.648459384450689e-05,3.6577164337359136e-06,0.9999289512634277,5.999717712402344,go_fast,stop,True,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_1,5,178232,0.25,0.7380870580685825,26.53016853370036,chair,29.664252161979675,0,1,0,0,0,0,0,0,0,1.9433014131209347e-06,3.30752955051139e-05,2.320691464774427e-06,0.9999626874923706,5.99984884262085,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_1,10,178237,0.5,0.2014345079660582,0.6454357505135275,chair,29.664223551750183,0,2,0,16,0,0,0,0,0,1.2029390745738056e-06,2.6096764486283064e-05,3.0010833143023774e-06,0.9999697208404541,5.999879360198975,go_fast,go_fast,False,0.75,0.0,0.0,49.75056457519531,-0.13987688720226288,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,
Object in Road,Chair,run_1,15,178242,0.75,2.5741028304870524,6.752467159318818,chair,29.28736388683319,0,21,0,61,0,0,0,0,0,4.455223461263813e-07,2.5192572138621472e-05,1.8340199403610313e-06,0.9999725818634033,5.99989128112793,go_fast,go_fast,False,0.75,0.0,-0.503000020980835,49.373722076416016,-0.1396486759185791,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,11.520692711324838
Object in Road,Chair,run_1,20,178247,1.0,3.7555378074932064,6.245737966152935,chair,28.498705744743347,0,1,0,13,0,0,0,0,0,1.016386590890761e-06,2.701362427615095e-05,1.8662398133528768e-06,0.9999700784683228,5.999880313873291,go_fast,go_fast,False,0.75,0.0,-0.37700000405311584,48.42170715332031,3.973989725112915,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,8.202397779804791
Object in Road,Chair,run_1,25,178252,1.25,4.930452623316195,5.142057903343701,chair,27.474066615104675,92,0,0,54,0,0,0,0,0,1.8160599211114459e-06,1.248547232535202e-05,2.6657387479644967e-06,0.9999830722808838,5.999931335449219,go_fast,go_fast,False,0.75,0.0,-0.2930000126361847,46.234031677246094,11.13663101196289,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,6.25989350509398
Object in Road,Chair,run_1,30,178257,1.5,5.541081737851708,2.570097686693986,chair,26.27710998058319,0,0,0,0,0,0,0,0,0,8.987586852526874e-07,2.8564072636072524e-06,4.975644287696923e-07,0.9999957084655762,5.99998140335083,go_fast,go_fast,False,0.75,0.0,-0.16200000047683716,42.927730560302734,17.478792190551758,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,5.615336610325387
Object in Road,Chair,run_1,35,178262,1.75,6.669053181778751,5.450025132417352,chair,24.972071528434753,25,0,0,55,0,0,0,0,0,4.359099693829194e-05,1.079061894415645e-05,1.8587448948892416e-06,0.999943733215332,5.99968957901001,go_fast,go_fast,False,0.0,1.0,0.024000000208616257,39.57352066040039,21.470260620117188,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.627471224587661
Object in Road,Chair,run_1,40,178267,2.0,6.36800803374532,5.606121857750003,chair,23.55974280834198,26,152,0,32,0,0,0,0,0,4.020230790047208e-06,1.3115308320266195e-05,2.7043399768444942e-06,0.9999802112579346,5.999915599822998,go_fast,go_fast,False,0.04374999925494194,0.0,0.1860000044107437,37.77255630493164,21.718568801879883,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.454748129032859
Object in Road,Chair,run_1,45,178272,2.25,5.64347446280969,2.6397857702948655,chair,22.27087676525116,92,134,0,0,0,0,0,0,0,1.5019701322671608e-06,1.814534334698692e-05,1.3293545634951442e-05,0.999967098236084,5.999878883361816,go_fast,go_fast,False,0.75,0.0,0.21400000154972076,37.78950881958008,18.87252426147461,LANEFOLLOW,none,obstacle_detected,False,go,False,,False,4.447856856155719
